番組ID,番組分類,ゲーム種別,番組名,バングミメイ,番組名補,バングミメイホ,放映話数,年齢制限,放映開始日
7194,"テレビアニメーション","","アークエとガッチンポー","アークエトガッチンポー","","","26","","2004-10-02"
7175,"テレビアニメーション","","アークエとガッチンポー てんこもり","アークエトガッチンポーテンコモリ","","","12","","2005-01-07"
2051,"テレビアニメーション","","ArcTheLad","アークザラッド","","","26","","1999-04-05"
7521,"ゲーム","","アークザラッド","アークザラッド(ゲーム1)","","","","","1995-06-30"
7522,"ゲーム","","アークザラッド II","アークザラッド(ゲーム2)","","","","","1996-11-01"
7523,"ゲーム","","アークザラッド III","アークザラッド(ゲーム3)","","","","","1999-10-28"
6149,"ゲーム","ロールプレイング","アークザラッド 精霊の黄昏","アークザラッドセイレイノタソガレ","","","","","2003-03-20"
9215,"ゲーム","ロールプレイング","アークス I・II・III","アークスワンツースリー","","","","","1993-07-23"
8214,"ゲーム","","ARCTURUS~アークトゥルス~","アークトゥルス","","","","","2003-06-00"
